时间戳,右臂最大压强(kPa),右臂最大压强坐标,右臂平均压强(kPa),右臂受力面积(cm²),右臂数据,右臂点数,右臂总压力(N),备注
1787222642446,119.0,"(2, 18)",45.8,122,"[0,0,0,0,0,20,40,47,53,77,101,70,38,36,34,68,102,107,111,75,38,42,45,47,49,44,38,39,39,34,28,28,27,18,9,9,0,0,0,0,0,22,44,52,60,75,90,73,56,51,47,69,92,104,115,80,45,38,30,30,31,29,28,28,29,21,14,16,17,13,10,10,0,0,0,0,0,24,48,58,67,73,78,76,74,67,59,71,82,101,119,86,52,34,15,14,12,15,18,18,18,9,0,4,7,9,10,10,0,0,0,0,0,24,48,58,67,73,78,76,74,67,59,71,82,101,119,86,52,34,15,14,12,15,18,18,18,9,0,4,7,9,10,10]",122,558.8,
1787222642557,214.0,"(2, 10)",97.0,124,"[0,0,0,0,0,16,32,75,117,160,203,165,127,97,66,98,130,150,169,160,151,113,75,71,66,73,79,80,81,88,95,80,64,45,26,26,0,0,0,0,0,17,34,79,125,167,209,170,131,100,70,99,128,150,171,162,154,113,72,67,62,70,78,79,80,86,92,77,63,45,27,27,0,0,0,0,0,18,35,84,132,173,214,174,134,104,74,100,126,150,173,165,156,112,68,63,58,68,77,78,79,84,89,75,61,44,27,27,0,0,0,0,0,18,35,84,132,173,214,174,134,104,74,100,126,150,173,165,156,112,68,63,58,68,77,78,79,84,89,75,61,44,27,27]",124,1202.6,
1787222642676,219.0,"(2, 10)",99.6,124,"[0,0,0,0,0,17,33,76,119,164,208,169,130,97,64,96,127,149,171,166,161,125,88,67,46,68,90,90,90,99,107,90,73,46,18,18,0,0,0,0,0,16,32,79,127,170,214,174,134,102,70,97,125,149,173,168,164,124,84,64,44,67,89,90,90,97,104,88,72,44,17,17,0,0,0,0,0,16,31,83,134,177,219,179,138,107,75,99,123,149,175,171,166,123,79,61,42,65,88,89,90,95,100,85,70,43,16,16,0,0,0,0,0,16,31,83,134,177,219,179,138,107,75,99,123,149,175,171,166,123,79,61,42,65,88,89,90,95,100,85,70,43,16,16]",124,1235.5,
1787222642788,197.0,"(2, 10)",84.7,116,"[0,0,0,0,0,9,17,54,90,140,189,156,122,92,62,92,122,143,163,148,132,91,50,44,38,56,73,74,75,60,44,42,40,20,0,0,0,0,0,0,0,9,18,56,94,144,193,159,126,95,65,93,121,143,165,150,135,92,49,43,38,55,72,73,73,58,43,40,37,19,0,0,0,0,0,0,0,9,18,58,98,148,197,163,129,98,67,93,119,143,167,152,137,92,47,42,37,54,71,71,71,56,41,38,34,17,0,0,0,0,0,0,0,9,18,58,98,148,197,163,129,98,67,93,119,143,167,152,137,92,47,42,37,54,71,71,71,56,41,38,34,17,0,0]",116,983.0,
1787222642899,16.0,"(0, 10)",5.7,56,"[0,0,0,0,0,3,5,9,12,14,16,12,8,8,7,10,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,6,8,11,7,4,4,4,7,10,5,0,0,0,2,4,2,0,0,0,0,0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,3,6,3,0,0,0,4,7,4,0,0,0,0,0,0,0,4,7,4,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,3,6,3,0,0,0,4,7,4,0,0,0,0,0,0,0,4,7,4,0,0]",56,32.0,
1787222643011,25.0,"(2, 10)",8.7,74,"[0,0,0,0,0,0,0,4,8,12,16,13,9,8,6,9,12,6,0,0,0,0,0,4,7,11,15,11,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,12,21,13,5,4,3,6,9,5,0,0,0,3,5,10,15,11,8,5,3,3,3,4,6,3,0,0,0,0,0,0,0,0,0,0,0,13,25,13,0,0,0,3,6,3,0,0,0,5,10,16,22,11,0,0,0,3,5,8,11,6,0,0,0,0,0,0,0,0,0,0,0,13,25,13,0,0,0,3,6,3,0,0,0,5,10,16,22,11,0,0,0,3,5,8,11,6,0,0]",74,64.3,
1787222643122,34.0,"(2, 24)",10.6,66,"[0,0,0,0,0,0,0,0,0,9,17,12,7,4,0,7,13,9,5,3,0,0,0,15,30,25,19,13,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,8,4,2,0,5,10,6,3,1,0,2,4,18,32,25,18,13,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,0,0,0,3,6,3,0,0,0,4,7,21,34,26,17,12,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,0,0,0,3,6,3,0,0,0,4,7,21,34,26,17,12,7,4,0,0,0,0,0,0]",66,70.0,
1787222643234,53.0,"(2, 24)",14.3,100,"[0,0,0,0,0,5,9,10,11,23,34,22,10,9,8,10,11,8,5,3,0,0,0,13,26,28,30,24,18,13,7,7,6,3,0,0,0,0,0,0,0,2,5,8,12,19,26,15,5,6,7,9,12,8,5,3,0,2,4,22,40,34,29,25,20,16,12,7,3,2,0,0,0,0,0,0,0,0,0,7,13,15,17,9,0,3,5,9,12,9,5,3,0,4,8,31,53,41,28,25,22,19,16,8,0,0,0,0,0,0,0,0,0,0,0,7,13,15,17,9,0,3,5,9,12,9,5,3,0,4,8,31,53,41,28,25,22,19,16,8,0,0,0,0]",100,143.5,
1787222643354,47.0,"(0, 10)",25.0,122,"[0,0,0,0,0,8,15,15,14,31,47,31,15,22,28,30,31,30,29,22,15,13,10,12,13,28,43,37,31,35,38,26,13,7,0,0,0,0,0,1,3,6,10,18,27,33,40,29,18,20,21,25,29,30,31,28,24,21,18,23,28,36,44,39,35,36,37,24,11,5,0,0,0,0,0,3,5,5,5,22,39,36,33,27,21,18,14,20,26,30,33,33,33,29,25,34,42,43,44,42,39,37,35,22,8,4,0,0,0,0,0,3,5,5,5,22,39,36,33,27,21,18,14,20,26,30,33,33,33,29,25,34,42,43,44,42,39,37,35,22,8,4,0,0]",122,305.3,
1787222643477,171.0,"(0, 18)",81.5,116,"[0,0,0,0,0,13,25,41,56,89,122,126,129,126,122,136,149,160,171,111,50,48,45,57,68,61,54,53,52,54,56,44,31,16,0,0,0,0,0,0,0,15,31,53,76,103,131,131,131,124,118,129,140,145,151,114,78,74,71,64,58,58,59,58,58,54,51,36,22,11,0,0,0,0,0,0,0,18,36,66,95,117,139,136,133,123,113,122,131,131,130,118,106,101,96,72,48,56,63,63,63,55,46,29,12,6,0,0,0,0,0,0,0,18,36,66,95,117,139,136,133,123,113,122,131,131,130,118,106,101,96,72,48,56,63,63,63,55,46,29,12,6,0,0]",116,945.7,
1787222643591,181.0,"(0, 18)",91.2,112,"[0,0,0,0,0,14,27,42,56,95,134,140,145,137,129,143,157,169,181,123,64,60,56,67,78,67,56,55,54,55,56,40,24,12,0,0,0,0,0,0,0,18,36,56,76,111,146,146,146,137,128,141,155,156,158,124,90,84,79,73,68,65,63,62,61,55,50,31,12,6,0,0,0,0,0,0,0,22,44,70,95,127,158,153,147,137,126,139,152,143,134,125,115,109,102,80,57,63,69,68,67,56,44,22,0,0,0,0,0,0,0,0,0,22,44,70,95,127,158,153,147,137,126,139,152,143,134,125,115,109,102,80,57,63,69,68,67,56,44,22,0,0,0,0]",112,1021.7,
1787222643703,46.0,"(0, 28)",18.6,94,"[0,0,0,0,0,11,22,27,31,22,13,10,7,9,11,15,19,10,0,0,0,0,0,0,0,22,44,45,46,45,43,22,0,0,0,0,0,0,0,4,7,12,16,18,21,14,7,7,7,6,6,10,14,7,0,0,0,2,4,7,11,27,43,44,46,44,43,21,0,0,0,0,0,0,0,7,14,12,10,10,10,5,0,3,6,3,0,4,8,4,0,0,0,4,8,15,21,31,41,44,46,44,42,21,0,0,0,0,0,0,0,7,14,12,10,10,10,5,0,3,6,3,0,4,8,4,0,0,0,4,8,15,21,31,41,44,46,44,42,21,0,0,0,0]",94,174.8,
1787222643819,49.0,"(0, 26)",18.3,102,"[0,0,0,0,0,11,21,33,44,30,15,12,9,11,13,17,21,11,0,0,0,0,0,4,7,28,49,46,42,38,33,20,6,3,0,0,0,0,0,3,5,10,16,24,32,20,8,6,5,7,10,13,17,9,0,0,0,3,5,13,22,32,43,40,38,36,33,20,7,4,0,0,0,0,0,5,10,10,10,15,19,10,0,0,0,3,6,10,13,7,0,0,0,5,10,23,36,36,36,35,34,34,33,21,8,4,0,0,0,0,0,5,10,10,10,15,19,10,0,0,0,3,6,10,13,7,0,0,0,5,10,23,36,36,36,35,34,34,33,21,8,4,0,0]",102,187.1,
1787222643939,34.0,"(0, 26)",13.5,104,"[0,0,0,3,5,7,9,19,28,22,16,14,12,11,9,14,19,10,0,0,0,0,0,3,5,20,34,31,28,23,17,22,26,13,0,0,0,0,0,4,8,9,10,14,18,13,8,7,6,7,7,12,18,9,0,0,0,2,5,9,13,21,29,27,24,21,18,18,17,9,0,0,0,0,0,6,11,11,11,10,8,4,0,0,0,3,5,11,16,8,0,0,0,5,9,15,21,23,24,22,20,20,19,14,8,4,0,0,0,0,0,6,11,11,11,10,8,4,0,0,0,3,5,11,16,8,0,0,0,5,9,15,21,23,24,22,20,20,19,14,8,4,0,0]",104,139.9,
1787222644061,19.0,"(0, 10)",8.0,52,"[0,0,0,0,0,0,0,0,0,10,19,15,11,8,5,10,14,7,0,0,0,3,6,7,7,8,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,8,6,4,3,8,13,6,0,0,0,5,9,9,9,8,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,6,0,0,0,6,12,11,10,8,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,6,0,0,0,6,12,11,10,8,6,3,0,0,0,0,0,0,0,0]",52,41.7,
1787222644175,20.0,"(0, 16)",7.1,38,"[0,3,6,3,0,0,0,3,6,7,7,9,11,12,12,16,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,2,3,3,4,5,6,7,9,12,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",38,26.8,
1787222644294,10.0,"(0, 16)",4.8,26,"[0,0,0,0,0,4,8,7,6,3,0,0,0,4,7,9,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,3,2,0,0,0,2,4,6,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",26,12.4,
1787222644404,17.0,"(0, 28)",6.4,38,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,0,0,0,0,0,0,0,3,5,11,17,15,13,9,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0,0,0,0,0,0,1,3,8,14,11,9,6,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,8,5,3,0,0,0,0]",38,24.3,
1787222644520,19.0,"(0, 28)",8.9,58,"[0,0,0,0,0,0,0,4,7,4,0,0,0,0,0,5,9,8,6,3,0,0,0,3,6,12,17,18,19,15,10,5,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0,0,0,0,4,9,6,3,2,0,0,0,4,9,12,16,17,18,13,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,0,0,0,0,0,6,11,13,15,16,17,12,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,0,0,0,0,0,6,11,13,15,16,17,12,6,3,0,0,0,0]",58,51.4,
1787222644635,21.0,"(0, 28)",8.1,69,"[0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,6,12,9,6,3,0,0,0,3,5,12,18,20,21,15,9,5,0,0,0,0,0,1,3,1,0,0,0,2,3,2,0,0,0,0,0,6,12,8,3,2,0,2,3,5,6,12,17,18,20,12,5,2,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,6,12,6,0,0,0,3,6,7,7,12,16,17,18,9,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,6,12,6,0,0,0,3,6,7,7,12,16,17,18,9,0,0,0,0,0,0]",69,56.1,
1787222644756,20.0,"(0, 28)",9.5,56,"[0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,5,10,5,0,0,0,0,0,4,7,12,17,19,20,15,9,5,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,5,11,5,0,0,0,2,4,6,9,13,17,18,20,12,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,6,0,0,0,4,7,9,10,13,16,18,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,6,0,0,0,4,7,9,10,13,16,18,19,10,0,0,0,0,0,0]",56,53.4,
1787222644868,21.0,"(0, 28)",9.3,58,"[0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,5,10,5,0,0,0,3,5,6,7,13,18,20,21,15,9,5,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,5,10,5,0,0,0,3,6,7,9,13,18,19,20,12,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,5,0,0,0,4,7,9,10,14,17,18,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,5,0,0,0,4,7,9,10,14,17,18,18,9,0,0,0,0,0,0]",58,54.2,
1787222644983,21.0,"(0, 28)",9.6,58,"[0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,6,11,6,0,0,0,3,5,6,7,13,19,20,21,15,9,5,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,5,11,5,0,0,0,3,6,7,9,13,18,19,20,12,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,0,0,0,4,7,9,10,14,17,18,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,0,0,0,4,7,9,10,14,17,18,19,10,0,0,0,0,0,0]",58,55.6,
1787222645101,20.0,"(0, 28)",8.4,69,"[0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,6,11,9,6,3,0,0,0,4,7,12,17,19,20,15,9,5,0,0,0,0,0,1,3,1,0,0,0,2,3,2,0,0,0,0,0,6,11,7,3,2,0,2,4,6,8,13,17,18,20,12,5,2,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,6,11,6,0,0,0,4,7,8,9,13,17,18,19,10,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,6,11,6,0,0,0,4,7,8,9,13,17,18,19,10,0,0,0,0,0,0]",69,58.1,
1787222645215,20.0,"(0, 28)",8.5,69,"[0,0,0,0,0,0,0,4,7,4,0,0,0,0,0,5,10,8,6,3,0,0,0,3,6,12,17,19,20,15,9,5,0,0,0,0,0,1,3,1,0,0,0,2,4,2,0,0,0,0,0,5,11,7,3,2,0,2,4,6,8,13,17,18,20,12,5,2,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,6,11,6,0,0,0,4,7,9,10,14,17,18,19,10,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,6,11,6,0,0,0,4,7,9,10,14,17,18,19,10,0,0,0,0,0,0]",69,58.5,
1787222645330,21.0,"(0, 28)",8.5,69,"[0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,6,11,9,7,4,0,0,0,3,6,12,18,20,21,15,9,5,0,0,0,0,0,1,3,1,0,0,0,2,3,2,0,0,0,0,0,6,12,8,4,2,0,2,4,5,7,12,18,19,20,12,5,2,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,6,12,6,0,0,0,4,7,8,8,13,17,18,19,10,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,6,12,6,0,0,0,4,7,8,8,13,17,18,19,10,0,0,0,0,0,0]",69,58.6,
1787222645442,21.0,"(0, 28)",8.6,69,"[0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,6,11,9,7,4,0,0,0,3,6,12,18,20,21,15,9,5,0,0,0,0,0,2,3,2,0,0,0,2,3,2,0,0,0,0,0,6,12,8,4,2,0,2,4,5,7,12,18,19,20,12,5,2,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,7,13,7,0,0,0,4,7,8,8,13,17,18,19,10,0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,7,13,7,0,0,0,4,7,8,8,13,17,18,19,10,0,0,0,0,0,0]",69,59.6,
1787222645555,21.0,"(0, 28)",8.6,69,"[0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,6,11,9,7,4,0,0,0,3,6,12,18,20,21,15,8,4,0,0,0,0,0,1,3,1,0,0,0,2,3,2,0,0,0,0,0,6,12,8,4,2,0,2,4,5,7,12,18,19,21,12,4,2,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,7,13,7,0,0,0,4,7,8,8,13,17,19,20,10,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,7,13,7,0,0,0,4,7,8,8,13,17,19,20,10,0,0,0,0,0,0]",69,59.4,
1787222645666,21.0,"(0, 28)",8.9,69,"[0,0,0,0,0,0,0,4,7,4,0,0,0,0,0,6,11,9,7,4,0,0,0,3,6,12,18,20,21,15,9,5,0,0,0,0,0,2,3,2,0,0,0,2,4,2,0,0,0,0,0,6,12,8,4,2,0,2,4,6,8,13,18,19,21,13,5,2,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,7,13,7,0,0,0,4,7,8,9,13,17,19,20,10,0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,7,13,7,0,0,0,4,7,8,9,13,17,19,20,10,0,0,0,0,0,0]",69,61.1,
1787222645778,21.0,"(0, 28)",8.7,69,"[0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,6,11,9,7,4,0,0,0,4,7,12,17,19,21,15,9,5,0,0,0,0,0,2,3,2,0,0,0,2,3,2,0,0,0,0,0,6,12,8,4,2,0,2,4,6,8,13,18,19,20,12,5,2,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,7,13,7,0,0,0,4,7,8,8,13,18,19,19,10,0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,7,13,7,0,0,0,4,7,8,8,13,18,19,19,10,0,0,0,0,0,0]",69,60.3,
1787222645892,21.0,"(0, 28)",8.8,69,"[0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,6,12,10,7,4,0,0,0,3,6,12,18,20,21,15,9,5,0,0,0,0,0,2,3,2,0,0,0,2,3,2,0,0,0,0,0,6,12,8,4,2,0,2,4,6,8,13,18,19,21,13,5,2,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,6,12,6,0,0,0,4,7,8,9,14,18,19,20,10,0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,6,12,6,0,0,0,4,7,8,9,14,18,19,20,10,0,0,0,0,0,0]",69,60.7,
1787222646008,21.0,"(0, 28)",8.7,69,"[0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,6,11,9,7,4,0,0,0,3,6,12,18,20,21,15,9,5,0,0,0,0,0,2,3,2,0,0,0,2,3,2,0,0,0,0,0,6,12,8,4,2,0,2,4,5,7,13,18,19,20,12,5,2,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,7,13,7,0,0,0,4,7,8,8,13,18,19,19,10,0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,7,13,7,0,0,0,4,7,8,8,13,18,19,19,10,0,0,0,0,0,0]",69,60.1,
1787222646122,21.0,"(0, 28)",8.6,69,"[0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,6,12,10,7,4,0,0,0,3,6,12,18,20,21,15,9,5,0,0,0,0,0,1,3,1,0,0,0,2,3,2,0,0,0,0,0,6,13,8,4,2,0,2,3,5,7,12,18,19,21,13,5,2,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,7,13,7,0,0,0,3,6,7,8,13,17,19,20,10,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,7,13,7,0,0,0,3,6,7,8,13,17,19,20,10,0,0,0,0,0,0]",69,59.4,
1787222646244,21.0,"(0, 28)",8.8,69,"[0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,6,11,10,8,4,0,0,0,4,7,13,18,20,21,15,9,5,0,0,0,0,0,1,3,1,0,0,0,2,3,2,0,0,0,0,0,6,12,8,4,2,0,2,3,6,8,13,18,19,21,13,5,2,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,7,13,7,0,0,0,3,6,8,9,14,18,19,20,10,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,7,13,7,0,0,0,3,6,8,9,14,18,19,20,10,0,0,0,0,0,0]",69,60.7,
1787222646358,21.0,"(0, 28)",8.8,69,"[0,0,0,0,0,0,0,4,7,4,0,0,0,0,0,6,12,10,7,4,0,0,0,3,6,12,18,20,21,15,9,5,0,0,0,0,0,2,3,2,0,0,0,2,4,2,0,0,0,0,0,6,13,8,4,2,0,2,3,5,8,13,18,19,20,12,5,2,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,7,13,7,0,0,0,3,6,8,9,14,18,19,19,10,0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,7,13,7,0,0,0,3,6,8,9,14,18,19,19,10,0,0,0,0,0,0]",69,60.8,
1787222646469,21.0,"(0, 28)",8.8,69,"[0,0,0,0,0,0,0,4,7,4,0,0,0,0,0,6,11,9,7,4,0,0,0,3,6,12,18,20,21,15,9,5,0,0,0,0,0,2,3,2,0,0,0,2,4,2,0,0,0,0,0,6,12,8,4,2,0,2,3,5,8,13,18,19,21,13,5,2,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,7,13,7,0,0,0,3,6,8,9,13,17,19,20,10,0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,7,13,7,0,0,0,3,6,8,9,13,17,19,20,10,0,0,0,0,0,0]",69,60.5,
