帧数,秒数(s),右臂最大压强(N/cm²),右臂最大压强坐标,右臂平均压强(N/cm²),右臂受力面积(cm²),右臂压强数据(N/cm²),右臂点数,右臂压力总和(N),右臂平均梯度（N/cm³）,右臂最大梯度（N/cm³）,右臂框选1最大压强(N/cm²),右臂框选1最大压强坐标,右臂框选1平均压强(N/cm²),右臂框选1受力面积(cm²),右臂框选1压强数据(N/cm²),右臂框选1点数,右臂框选1压力总和(N),右臂框选1平均梯度（N/cm³）,右臂框选1最大梯度（N/cm³）,右臂框选2最大压强(N/cm²),右臂框选2最大压强坐标,右臂框选2平均压强(N/cm²),右臂框选2受力面积(cm²),右臂框选2压强数据(N/cm²),右臂框选2点数,右臂框选2压力总和(N),右臂框选2平均梯度（N/cm³）,右臂框选2最大梯度（N/cm³）,框选坐标
11,0.829,0.02,"(0, 24)",0.02,14.0625,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0]",9,0.0,0.0097,0.0113,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,0.02,"(2, 19)",0.02,6.25,"[0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0.02,0.02]",4,0.0,0.0097,0.0113,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
12,0.914,0.04,"(0, 25)",0.03,46.875,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.03,0.04,0.04,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.02,0,0,0,0,0,0,0,0,0]",30,0.3,0.0058,0.0170,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,0.02,"(1, 20)",0.02,7.8125,"[0,0,0,0,0,0.02,0,0,0,0,0.02,0.02,0,0,0,0,0.02,0.02]",5,0.0,0.0075,0.0113,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
13,0.998,0.04,"(0, 24)",0.03,45.3125,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.03,0.03,0.04,0.03,0.03,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.03,0.03,0.03,0.03,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.03,0.03,0.03,0.03,0.02,0,0,0,0,0,0,0,0,0,0]",29,0.1,0.0057,0.0170,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,0.02,"(1, 20)",0.02,7.8125,"[0,0,0,0,0,0.02,0,0,0,0,0.02,0.02,0,0,0,0,0.02,0.02]",5,0.0,0.0091,0.0120,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
14,1.080,0.04,"(0, 21)",0.03,62.5,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.03,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.03,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.03,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0,0,0,0,0,0,0,0,0]",40,2.1,0.0049,0.0120,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,0.04,"(1, 20)",0.03,18.75,"[0,0,0.02,0.03,0.03,0.04,0,0,0.02,0.03,0.03,0.04,0,0,0.02,0.03,0.03,0.04]",12,0.6,0.0062,0.0120,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
15,1.163,0.04,"(1, 20)",0.03,104.6875,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0,0,0]",67,2.2,0.0033,0.0170,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,0.04,"(1, 20)",0.03,18.75,"[0,0,0.02,0.03,0.03,0.04,0,0,0.03,0.03,0.04,0.04,0,0,0.03,0.03,0.04,0.04]",12,0.6,0.0068,0.0170,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
16,1.246,0.04,"(0, 19)",0.04,115.625,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03]",74,6.3,0.0030,0.0170,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,0.04,"(1, 19)",0.04,15.625,"[0,0,0.03,0.03,0.04,0.04,0,0,0,0.03,0.04,0.04,0,0,0,0.03,0.04,0.04]",10,0.9,0.0064,0.0170,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
17,1.329,0.06,"(2, 20)",0.05,118.75,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.03,0.03]",76,7.6,0.0027,0.0160,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,0.06,"(2, 20)",0.05,18.75,"[0,0,0.04,0.04,0.05,0.05,0,0,0.04,0.04,0.05,0.06,0,0,0.04,0.04,0.05,0.06]",12,1.2,0.0075,0.0160,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
18,1.412,0.08,"(2, 20)",0.06,115.625,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.05,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.05,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.06,0.07,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.06,0.07,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0,0]",74,7.4,0.0060,0.0256,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,0.08,"(2, 20)",0.06,20.3125,"[0,0.04,0.05,0.06,0.07,0.07,0,0,0.05,0.06,0.07,0.08,0,0,0.05,0.06,0.07,0.08]",13,1.3,0.0106,0.0256,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
19,1.496,0.09,"(0, 20)",0.08,118.75,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.07,0.07,0.08,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0.07,0.08,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.09,0.09,0.08,0.08,0.07,0.06,0.06,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.06,0.07,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.06,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.06,0.07,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.06,0.06,0,0]",76,7.6,0.0066,0.0243,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,0.09,"(1, 20)",0.07,23.4375,"[0,0.06,0.06,0.07,0.08,0.09,0,0.05,0.06,0.07,0.08,0.09,0,0.05,0.06,0.07,0.08,0.09]",15,1.5,0.0102,0.0243,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
20,1.578,0.11,"(1, 21)",0.09,120.3125,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.07,0.08,0.08,0.09,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.08,0.07,0.07,0.06,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.07,0.08,0.09,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.08,0.07,0.07,0.06,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.07,0.08,0.1,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.08,0.07,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.07,0.08,0.1,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.08,0.07,0.06,0,0]",77,11.0,0.0077,0.0283,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,0.11,"(2, 20)",0.08,23.4375,"[0,0.06,0.07,0.08,0.09,0.1,0,0.06,0.07,0.08,0.1,0.11,0,0.06,0.07,0.08,0.1,0.11]",15,1.8,0.0129,0.0283,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
