帧数,秒数(s),右臂最大压强(N/cm²),右臂最大压强坐标,右臂平均压强(N/cm²),右臂受力面积(cm²),右臂压强数据(N/cm²),右臂点数,右臂压力总和(N),右臂平均梯度（N/cm³）,右臂最大梯度（N/cm³）,右臂框选1最大压强(N/cm²),右臂框选1最大压强坐标,右臂框选1平均压强(N/cm²),右臂框选1受力面积(cm²),右臂框选1压强数据(N/cm²),右臂框选1点数,右臂框选1压力总和(N),右臂框选1平均梯度（N/cm³）,右臂框选1最大梯度（N/cm³）,右臂框选2最大压强(N/cm²),右臂框选2最大压强坐标,右臂框选2平均压强(N/cm²),右臂框选2受力面积(cm²),右臂框选2压强数据(N/cm²),右臂框选2点数,右臂框选2压力总和(N),右臂框选2平均梯度（N/cm³）,右臂框选2最大梯度（N/cm³）,框选坐标
21,1.661,0.12,"(2, 21)",0.10,125,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.08,0.09,0.1,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.08,0.08,0.07,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.08,0.09,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.08,0.08,0.07,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.08,0.09,0.1,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.09,0.08,0.08,0.07,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.08,0.09,0.1,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.09,0.08,0.08,0.07,0.07]",80,12.8,0.0062,0.0320,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,0.11,"(1, 20)",0.09,23.4375,"[0,0.07,0.08,0.09,0.1,0.11,0,0.07,0.08,0.09,0.1,0.11,0,0.07,0.08,0.09,0.1,0.11]",15,2.1,0.0124,0.0320,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
22,1.744,0.07,"(0, 28)",0.06,118.75,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.05,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.06,0.06,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.05,0.06,0.07,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.07,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.05,0.06,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.06,0.05,0.05,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.05,0.06,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.06,0.05,0.05,0.04,0.04]",76,7.6,0.0053,0.0200,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,0.07,"(1, 20)",0.06,18.75,"[0,0,0.04,0.05,0.06,0.07,0,0,0.04,0.05,0.06,0.07,0,0,0.04,0.05,0.06,0.07]",12,1.2,0.0100,0.0200,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
23,1.825,0.05,"(0, 30)",0.04,110.9375,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.05,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.04,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.04,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.04,0.04,0.04]",71,4.1,0.0023,0.0170,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,0.03,"(1, 18)",0.03,14.0625,"[0,0,0,0.03,0.03,0.03,0,0,0,0.03,0.03,0.03,0,0,0,0.03,0.03,0.03]",9,0.3,0.0048,0.0170,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
24,1.910,0.05,"(0, 30)",0.04,112.5,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.05,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.04,0.04]",72,6.0,0.0035,0.0160,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,0.04,"(1, 20)",0.04,14.0625,"[0,0,0,0.03,0.03,0.04,0,0,0,0.03,0.04,0.04,0,0,0,0.03,0.04,0.04]",9,0.6,0.0075,0.0160,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
25,1.993,0.07,"(2, 30)",0.05,109.375,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.06,0.06,0.06,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.05,0.05,0.06,0.06,0.06,0.06,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.06,0.07,0.07,0.07,0.06,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.06,0.07,0.07,0.07,0.06,0.05,0.05]",70,6.7,0.0048,0.0200,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,0.04,"(1, 20)",0.04,12.5,"[0,0,0,0,0.03,0.04,0,0,0,0.03,0.04,0.04,0,0,0,0.03,0.04,0.04]",8,0.6,0.0096,0.0200,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
26,2.076,0.07,"(1, 30)",0.05,101.5625,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0.03,0.04,0.04,0.05,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.03,0.03,0.03,0.03,0,0.03,0.04,0.04,0.05,0.06,0.07,0.07,0.06,0.06,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.04,0.05,0.06,0.07,0.07,0.07,0.06,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.04,0.05,0.06,0.07,0.07,0.07,0.06,0.05,0.05]",65,5.4,0.0072,0.0170,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,0.04,"(2, 20)",0.03,14.0625,"[0,0,0,0.03,0.03,0.03,0,0,0,0.03,0.03,0.04,0,0,0,0.03,0.03,0.04]",9,0.5,0.0091,0.0170,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
27,2.159,0.04,"(0, 0)",0.03,142.1875,"[0.04,0.04,0.04,0.04,0.04,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.04,0.04,0.03,0.03,0,0,0,0.03,0.03,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.04,0.04,0.03,0.03,0,0,0,0.03,0.03,0.04,0.04,0.04,0.04,0.03,0.03,0.03]",91,6.4,0.0048,0.0170,0.03,"(1, 5)",0.03,6.25,"[0.03,0.03,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0]",4,0.0,0.0110,0.0170,0.04,"(2, 20)",0.03,14.0625,"[0,0,0,0.03,0.03,0.03,0,0,0,0.03,0.03,0.04,0,0,0,0.03,0.03,0.04]",9,0.8,0.0071,0.0170,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
28,2.243,0.05,"(0, 0)",0.03,79.6875,"[0.05,0.05,0.05,0.04,0.04,0.03,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.05,0.04,0.04,0.04,0.03,0.03,0.02,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.03,0.03,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.03,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.03,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0]",51,1.7,0.0062,0.0126,0.03,"(1, 5)",0.02,9.375,"[0.03,0.02,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0,0]",6,0.0,0.0078,0.0120,0.03,"(1, 20)",0.03,14.0625,"[0,0,0,0.02,0.02,0.03,0,0,0,0.02,0.03,0.03,0,0,0,0.02,0.03,0.03]",9,0.0,0.0067,0.0120,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
29,2.326,0.05,"(0, 0)",0.03,79.6875,"[0.05,0.05,0.05,0.04,0.04,0.03,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.05,0.04,0.04,0.04,0.03,0.03,0.02,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.03,0.03,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.03,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.03,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0]",51,1.7,0.0062,0.0126,0.03,"(1, 5)",0.02,9.375,"[0.03,0.02,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0,0]",6,0.0,0.0078,0.0120,0.03,"(1, 20)",0.03,14.0625,"[0,0,0,0.02,0.02,0.03,0,0,0,0.02,0.03,0.03,0,0,0,0.02,0.03,0.03]",9,0.0,0.0067,0.0120,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
30,2.408,0.10,"(0, 2)",0.07,225,"[0.08,0.09,0.1,0.1,0.1,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.09,0.1,0.1,0.1,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.09,0.1,0.1,0.1,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.09,0.1,0.1,0.1,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06]",144,15.6,0.0024,0.0080,0.09,"(1, 5)",0.08,37.5,"[0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.06]",24,2.4,0.0036,0.0080,0.08,"(1, 18)",0.07,28.125,"[0.07,0.07,0.07,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.07,0.08,0.08]",18,1.8,0.0023,0.0057,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
31,2.491,0.10,"(0, 2)",0.07,225,"[0.08,0.09,0.1,0.1,0.1,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.09,0.1,0.1,0.1,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.09,0.1,0.1,0.1,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.09,0.1,0.1,0.1,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06]",144,15.6,0.0024,0.0080,0.09,"(1, 5)",0.08,37.5,"[0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.06]",24,2.4,0.0036,0.0080,0.08,"(1, 18)",0.07,28.125,"[0.07,0.07,0.07,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.07,0.08,0.08]",18,1.8,0.0023,0.0057,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
32,2.572,0.05,"(0, 20)",0.04,110.9375,"[0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.03,0.03,0.04,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.04,0.04,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.04,0.04,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.04,0.04,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0,0]",71,6.2,0.0034,0.0160,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,0.05,"(1, 20)",0.04,18.75,"[0,0,0.03,0.04,0.04,0.05,0,0,0.03,0.04,0.04,0.05,0,0,0.03,0.04,0.04,0.05]",12,1.1,0.0072,0.0160,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
33,2.657,0.10,"(0, 20)",0.06,125,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.05,0.06,0.07,0.08,0.1,0.1,0.1,0.08,0.07,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.05,0.06,0.07,0.08,0.1,0.1,0.1,0.08,0.07,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.05,0.06,0.07,0.08,0.1,0.1,0.1,0.08,0.07,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.05,0.06,0.07,0.08,0.1,0.1,0.1,0.08,0.07,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0,0]",80,8.9,0.0067,0.0226,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,0.10,"(1, 20)",0.07,28.125,"[0.04,0.05,0.06,0.07,0.08,0.1,0.04,0.05,0.06,0.07,0.08,0.1,0.04,0.05,0.06,0.07,0.08,0.1]",18,1.8,0.0093,0.0200,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
34,2.740,0.12,"(0, 20)",0.07,159.375,"[0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0,0,0,0,0,0,0,0.06,0.06,0.08,0.09,0.11,0.12,0.12,0.12,0.1,0.08,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0,0,0,0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0,0,0,0,0,0,0.06,0.06,0.06,0.08,0.09,0.11,0.12,0.12,0.12,0.1,0.09,0.07,0.06,0.06,0.06,0.06,0.06,0,0,0,0,0,0,0,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0,0,0,0.06,0.06,0.06,0.06,0.06,0.08,0.09,0.11,0.12,0.12,0.12,0.1,0.09,0.08,0.06,0.06,0.06,0.06,0.05,0,0,0,0,0,0,0,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0,0,0,0.06,0.06,0.06,0.06,0.06,0.08,0.09,0.11,0.12,0.12,0.12,0.1,0.09,0.08,0.06,0.06,0.06,0.06,0.05,0,0,0,0,0]",102,12.2,0.0091,0.0339,0.06,"(1, 5)",0.06,20.3125,"[0.06,0.06,0.06,0,0,0,0,0,0.06,0.06,0.06,0.05,0,0,0,0.06,0.06,0.06,0.06,0.05,0,0,0,0.06]",13,1.3,0.0116,0.0339,0.12,"(1, 20)",0.09,28.125,"[0.06,0.06,0.08,0.09,0.11,0.12,0.06,0.06,0.08,0.09,0.11,0.12,0.06,0.06,0.08,0.09,0.11,0.12]",18,2.4,0.0080,0.0120,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
35,2.823,0.13,"(0, 20)",0.08,182.8125,"[0.06,0.07,0.07,0.07,0.07,0.07,0.06,0,0,0,0,0,0,0,0,0.07,0.07,0.09,0.1,0.12,0.13,0.13,0.12,0.11,0.09,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.06,0.06,0,0,0,0,0,0.06,0.06,0.07,0.07,0.09,0.1,0.12,0.13,0.13,0.13,0.11,0.1,0.09,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0,0,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0,0,0,0,0.06,0.06,0.06,0.07,0.07,0.09,0.1,0.12,0.13,0.13,0.13,0.11,0.1,0.09,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0,0,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0,0,0,0,0.06,0.06,0.06,0.07,0.07,0.09,0.1,0.12,0.13,0.13,0.13,0.11,0.1,0.09,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0,0]",117,14.4,0.0081,0.0339,0.07,"(1, 5)",0.06,17.1875,"[0.07,0.06,0.06,0,0,0,0,0,0.07,0.07,0.06,0,0,0,0,0.06,0.07,0.07,0.06,0,0,0,0,0.06]",11,1.1,0.0159,0.0339,0.13,"(1, 20)",0.10,28.125,"[0.07,0.07,0.09,0.1,0.12,0.13,0.07,0.07,0.09,0.1,0.12,0.13,0.07,0.07,0.09,0.1,0.12,0.13]",18,2.7,0.0087,0.0120,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
36,2.906,0.14,"(2, 20)",0.08,178.125,"[0,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0,0,0,0,0,0,0.06,0.07,0.07,0.09,0.1,0.12,0.13,0.13,0.13,0.11,0.1,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0,0,0,0,0,0,0.06,0.07,0.07,0.09,0.1,0.12,0.13,0.13,0.13,0.12,0.1,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0,0,0.07,0.07,0.07,0.07,0.07,0.06,0,0,0,0,0.06,0.06,0.06,0.07,0.07,0.09,0.1,0.12,0.14,0.14,0.13,0.12,0.1,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0,0,0,0,0.07,0.07,0.07,0.07,0.07,0.06,0,0,0,0,0.06,0.06,0.06,0.07,0.07,0.09,0.1,0.12,0.14,0.14,0.13,0.12,0.1,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0,0]",114,14.2,0.0092,0.0369,0.07,"(1, 5)",0.07,17.1875,"[0.07,0.07,0.06,0,0,0,0,0,0.07,0.07,0.06,0,0,0,0,0.06,0.07,0.07,0.06,0,0,0,0,0.06]",11,1.1,0.0140,0.0339,0.14,"(2, 20)",0.10,28.125,"[0.07,0.07,0.09,0.1,0.12,0.13,0.07,0.07,0.09,0.1,0.12,0.14,0.07,0.07,0.09,0.1,0.12,0.14]",18,2.7,0.0096,0.0160,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
37,2.989,0.11,"(2, 20)",0.07,132.8125,"[0,0,0,0,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0.05,0.05,0.06,0.08,0.09,0.1,0.1,0.1,0.09,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0.05,0.05,0.06,0.08,0.09,0.1,0.1,0.1,0.09,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.06,0.08,0.09,0.11,0.1,0.1,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.06,0.08,0.09,0.11,0.1,0.1,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.05,0,0]",85,9.6,0.0080,0.0283,0.05,"(1, 5)",0.05,1.5625,"[0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",1,0.1,0.0283,0.0283,0.11,"(2, 20)",0.07,28.125,"[0.05,0.05,0.06,0.08,0.09,0.1,0.05,0.05,0.06,0.08,0.09,0.11,0.05,0.05,0.06,0.08,0.09,0.11]",18,2.1,0.0106,0.0200,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
38,3.072,0.07,"(0, 30)",0.05,118.75,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.06,0.06,0.07,0.06,0.06,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.05,0.05,0.06,0.06,0.06,0.07,0.06,0.06,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.04,0.04,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.06,0.06,0.07,0.07,0.07,0.06,0.05,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.04,0.04,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.06,0.06,0.07,0.07,0.07,0.06,0.05,0.04,0.04]",76,7.6,0.0048,0.0160,0.00,,0.00,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0.0,0.0000,0.0000,0.05,"(1, 20)",0.04,18.75,"[0,0,0.03,0.04,0.04,0.05,0,0,0.03,0.04,0.04,0.05,0,0,0.03,0.04,0.04,0.05]",12,1.2,0.0070,0.0160,"(1, 5) (1, 12) (3, 12) (3, 5)；(1, 15) (1, 20) (3, 20) (3, 15)"
